dq,y,donor_element
-0.0376,0.6764,O
2.0458,2.0819,N
1.0755,0.1643,O
0.9210,0.8086,O
1.7878,2.4919,N
0.8132,0.3741,O
0.5117,1.5361,O
2.8651,3.1686,S
2.7237,2.4780,S
3.0458,2.7492,S
2.3979,2.7705,S
1.1178,0.9752,O
1.0716,0.7319,O
2.9292,2.5864,S
1.7804,1.8477,N
1.2762,0.4866,O
2.1677,2.3552,S
1.2302,0.9759,O
3.1215,3.4414,S
2.1417,1.2353,N
1.1917,1.0018,O
2.6732,2.6750,S
1.8703,1.5114,N
3.3185,3.4267,S
1.2153,0.7409,O
3.1034,3.7492,S
0.2428,0.6101,O
2.2689,2.1933,N
2.5847,1.8864,N
2.5048,1.6230,N
2.1169,2.2938,N
1.2212,1.9225,N
2.4713,2.3016,N
0.9264,0.9764,O
-0.2663,0.4571,O
1.1886,0.9490,O
0.2539,1.0260,O
1.3518,2.4792,N
1.6825,1.5469,N
1.6363,0.9803,O
1.8146,1.1391,N
3.1355,3.3257,S
1.8740,0.4593,O
3.7970,2.0968,S
0.9483,0.9704,O
1.8792,2.5528,N
2.3696,2.2378,S
2.6528,2.4560,S
2.2127,1.6284,N
3.1979,2.4353,S
3.0551,3.1897,S
2.4974,1.5963,N
0.6138,0.6392,O
1.9720,2.2917,N
1.3656,0.6222,O
1.2921,1.2164,O
1.5355,0.5143,O
2.1985,1.3939,N
1.8453,1.0823,N
2.1811,2.9306,N
2.4987,2.8399,S
1.1803,2.1220,N
2.2903,1.9845,N
2.9724,3.0800,S
1.1542,1.0248,O
2.1512,3.9541,S
2.8174,2.4805,S
2.7001,2.2213,S
0.5679,0.4940,O
-0.1275,0.3326,O
0.8326,1.3735,O
3.4487,3.4102,S
1.1905,0.5193,O
1.6995,1.3048,N
1.9926,1.8226,N
3.3784,3.6956,S
0.6198,0.5902,N
0.9377,1.2633,O
2.2716,1.4621,N
3.3411,3.5202,S
2.8504,1.4610,N
3.5675,2.8573,S
1.1563,0.2469,O
1.1510,0.5114,O
3.3935,3.6929,S
1.7303,2.4103,N
0.9799,0.7992,O
1.4531,0.5649,O
1.9787,0.0531,O
1.9204,1.8032,N
2.9758,2.9845,S
1.0992,0.9580,O
2.6716,1.9531,N
2.9848,2.4391,S
3.7347,2.9669,S
1.5167,1.9807,N
0.9070,1.6453,O
1.9009,2.9334,N
2.3933,1.9315,N
1.5226,0.6168,O
0.2453,0.9675,O
1.5424,1.6962,N
2.1684,1.6288,N
1.6707,1.9707,N
2.2388,2.4783,S
3.5192,3.3031,S
2.2470,1.9480,N
2.2466,2.1250,N
1.7623,1.9085,N
3.5145,2.6364,S
2.8800,2.5260,S
3.5482,2.8814,S
1.5442,1.7256,N
0.5729,1.1170,O
2.1023,1.9978,N
1.6488,1.3188,N
2.3377,2.0336,N
1.1300,0.3286,O
1.5385,1.6918,N
2.0364,1.8528,N
