dq,y,donor_element
-0.6594,-0.6858,O
0.6567,0.0708,N
-0.2966,-0.6157,O
0.1097,0.3163,O
-1.3610,-1.2778,N
-0.7698,-0.6247,O
0.2846,-0.1895,O
1.0508,1.2517,S
1.1655,1.3494,S
-1.4274,-1.2087,S
-1.1274,-0.9637,S
0.6268,0.2323,O
-1.7303,-1.7076,O
-0.5809,-0.1732,S
-0.1655,-0.1395,N
1.1907,1.4196,O
0.7223,0.9238,S
-0.8051,-0.0779,O
-0.4392,-0.0922,S
-0.5065,-0.3869,N
1.7889,1.9780,O
-0.6592,-0.8020,S
-0.1306,-0.0452,N
0.8099,0.5008,S
-0.2148,0.1413,O
-0.3778,0.3664,S
-1.0566,-0.6687,O
-0.0121,-0.3551,N
-0.7417,-0.9502,N
1.3044,1.4112,N
1.2577,0.3486,N
-0.1016,-0.0279,N
0.6075,0.9203,N
-0.6533,-0.8330,O
1.1479,0.4191,O
-0.3795,0.0724,O
0.2513,0.5967,O
-0.9070,-1.3646,N
0.0750,0.3582,N
-1.3638,-1.9464,O
-1.5780,-2.4894,N
-0.2267,-0.3545,S
-0.7339,-1.1914,O
0.7497,-0.3290,S
2.1857,2.3965,O
-1.0096,-0.8501,N
-1.0299,-0.5020,S
0.2179,-0.0914,S
0.9368,0.2956,N
0.1115,-0.4761,S
-0.4886,-0.4719,S
0.4459,0.7611,N
0.3687,0.2850,O
-0.9460,-0.9269,N
-0.1408,0.0227,O
0.0996,0.6428,O
-0.9655,-1.4723,O
0.1702,0.5262,N
-0.8700,-0.8848,N
1.0340,0.9679,N
0.1676,-0.2422,S
0.2404,-0.0488,N
-0.0298,-0.3681,N
0.0590,-0.1434,S
-1.9810,-1.9734,O
-1.6372,-1.2186,S
0.4792,0.7092,S
-2.7126,-2.1350,S
0.4239,0.1865,O
-1.4897,-1.9537,O
0.9686,0.1661,O
-0.8905,-1.8209,S
0.2660,0.6200,O
0.0195,0.5310,N
-1.7405,-1.5227,N
1.4402,0.8974,S
2.1190,1.1595,N
-0.0007,0.2734,O
-0.5077,-0.2266,N
-0.5110,-0.1455,S
-0.9920,-0.9912,N
1.0455,1.1101,S
-0.8883,-0.3013,O
-0.0163,0.1146,O
-1.1386,-0.7286,S
-0.2924,-0.9389,N
-0.9589,-1.1244,O
1.5825,1.0518,O
-0.2963,0.1741,O
1.1203,0.5846,N
-0.0263,-0.0280,S
-0.8110,-0.6966,O
-0.4284,-0.7241,N
-0.9501,-0.0436,S
-0.4252,0.4461,S
-0.1370,-0.5143,N
-0.3573,-0.0684,O
-1.3136,-1.2650,N
-0.5063,-1.5909,N
1.1341,1.7292,O
-0.9065,-0.6896,O
-1.0015,-1.0291,N
0.4550,0.0143,N
1.2941,1.3265,N
-1.1453,-1.5075,S
-0.1454,0.1479,S
-0.9961,-0.5317,N
-2.0402,-1.7627,N
0.9766,1.1936,N
0.1157,-0.1900,S
-0.4983,-0.0454,S
-0.3480,-1.2973,S
0.6342,0.9255,N
-0.1363,-0.2500,O
-0.2580,0.1322,N
-1.1970,-0.9076,N
-1.5540,-1.1831,N
2.0966,1.4002,O
-0.5597,-0.5827,N
0.7679,0.2306,N
